Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
EA6,NO,01/01/2020 00:00,90.9,ug m-3,R
EA6,NO,02/01/2020 00:00,106.8,ug m-3,R
EA6,NO,03/01/2020 00:00,105,ug m-3,R
EA6,NO,04/01/2020 00:00,118.2,ug m-3,R
EA6,NO,05/01/2020 00:00,64.8,ug m-3,R
EA6,NO,06/01/2020 00:00,112.4,ug m-3,R
EA6,NO,07/01/2020 00:00,107.8,ug m-3,R
EA6,NO,08/01/2020 00:00,118.9,ug m-3,R
EA6,NO,09/01/2020 00:00,85.8,ug m-3,R
EA6,NO,10/01/2020 00:00,140.2,ug m-3,R
EA6,NO,11/01/2020 00:00,55.5,ug m-3,R
EA6,NO,12/01/2020 00:00,56.9,ug m-3,R
EA6,NO,13/01/2020 00:00,110,ug m-3,R
EA6,NO,14/01/2020 00:00,87.7,ug m-3,R
EA6,NO,15/01/2020 00:00,117.1,ug m-3,R
EA6,NO,16/01/2020 00:00,106.3,ug m-3,R
EA6,NO,17/01/2020 00:00,113.4,ug m-3,R
EA6,NO,18/01/2020 00:00,171.89999,ug m-3,R
EA6,NO,19/01/2020 00:00,184.60001,ug m-3,R
EA6,NO,20/01/2020 00:00,325.10001,ug m-3,R
EA6,NO,21/01/2020 00:00,378.5,ug m-3,R
EA6,NO,22/01/2020 00:00,140.39999,ug m-3,R
EA6,NO,23/01/2020 00:00,43.1,ug m-3,R
EA6,NO,24/01/2020 00:00,188.39999,ug m-3,R
EA6,NO,25/01/2020 00:00,135.7,ug m-3,R
EA6,NO,26/01/2020 00:00,84.8,ug m-3,R
EA6,NO,27/01/2020 00:00,142.10001,ug m-3,R
EA6,NO,28/01/2020 00:00,90.3,ug m-3,R
EA6,NO,29/01/2020 00:00,96.9,ug m-3,R
EA6,NO,30/01/2020 00:00,123.8,ug m-3,R
EA6,NO,31/01/2020 00:00,65.3,ug m-3,R
EA6,NO,01/02/2020 00:00,45,ug m-3,R
EA6,NO,02/02/2020 00:00,39.7,ug m-3,R
EA6,NO,03/02/2020 00:00,74.1,ug m-3,R
EA6,NO,04/02/2020 00:00,84.9,ug m-3,R
EA6,NO,05/02/2020 00:00,206.2,ug m-3,R
EA6,NO,06/02/2020 00:00,205.89999,ug m-3,R
EA6,NO,07/02/2020 00:00,121.7,ug m-3,R
EA6,NO,08/02/2020 00:00,74.6,ug m-3,R
EA6,NO,09/02/2020 00:00,13.1,ug m-3,R
EA6,NO,10/02/2020 00:00,44.3,ug m-3,R
EA6,NO,11/02/2020 00:00,52.5,ug m-3,R
EA6,NO,12/02/2020 00:00,102.7,ug m-3,R
EA6,NO,13/02/2020 00:00,104.5,ug m-3,R
EA6,NO,14/02/2020 00:00,133.3,ug m-3,R
EA6,NO,15/02/2020 00:00,37.8,ug m-3,R
EA6,NO,16/02/2020 00:00,21.1,ug m-3,R
EA6,NO,17/02/2020 00:00,50.4,ug m-3,R
EA6,NO,18/02/2020 00:00,63,ug m-3,R
EA6,NO,19/02/2020 00:00,118.5,ug m-3,R
EA6,NO,20/02/2020 00:00,75.2,ug m-3,R
EA6,NO,21/02/2020 00:00,45.9,ug m-3,R
EA6,NO,22/02/2020 00:00,31.9,ug m-3,R
EA6,NO,23/02/2020 00:00,71.3,ug m-3,R
EA6,NO,24/02/2020 00:00,54,ug m-3,R
EA6,NO,25/02/2020 00:00,71.8,ug m-3,R
EA6,NO,26/02/2020 00:00,113.4,ug m-3,R
EA6,NO,27/02/2020 00:00,80.9,ug m-3,R
EA6,NO,28/02/2020 00:00,96,ug m-3,R
EA6,NO,29/02/2020 00:00,39.9,ug m-3,R
EA6,NO,01/03/2020 00:00,51.8,ug m-3,R
EA6,NO,02/03/2020 00:00,84.2,ug m-3,R
EA6,NO,03/03/2020 00:00,157,ug m-3,R
EA6,NO,04/03/2020 00:00,94.7,ug m-3,R
EA6,NO,05/03/2020 00:00,11,ug m-3,R
EA6,NO,06/03/2020 00:00,178.39999,ug m-3,R
EA6,NO,07/03/2020 00:00,94.6,ug m-3,R
EA6,NO,08/03/2020 00:00,39.9,ug m-3,R
EA6,NO,09/03/2020 00:00,89.3,ug m-3,R
EA6,NO,10/03/2020 00:00,52.9,ug m-3,R
EA6,NO,11/03/2020 00:00,62.1,ug m-3,R
EA6,NO,12/03/2020 00:00,49.7,ug m-3,R
EA6,NO,13/03/2020 00:00,115.5,ug m-3,R
EA6,NO,14/03/2020 00:00,80,ug m-3,R
EA6,NO,15/03/2020 00:00,70.2,ug m-3,R
EA6,NO,16/03/2020 00:00,145,ug m-3,R
EA6,NO,17/03/2020 00:00,83.7,ug m-3,R
EA6,NO,18/03/2020 00:00,89.5,ug m-3,R
EA6,NO,19/03/2020 00:00,4.6,ug m-3,R
EA6,NO,20/03/2020 00:00,3.1,ug m-3,R
EA6,NO,21/03/2020 00:00,2.9,ug m-3,R
EA6,NO,22/03/2020 00:00,2.1,ug m-3,R
EA6,NO,23/03/2020 00:00,11.6,ug m-3,R
EA6,NO,24/03/2020 00:00,69.4,ug m-3,R
EA6,NO,25/03/2020 00:00,35.8,ug m-3,R
EA6,NO,26/03/2020 00:00,4,ug m-3,R
EA6,NO,27/03/2020 00:00,3.9,ug m-3,R
EA6,NO,28/03/2020 00:00,2.3,ug m-3,R
