ReadingDateTime,NO,NO2,NOX,PM10
01/01/2020 00:00,90.9,66.5,205,38.8
02/01/2020 00:00,106.8,64.5,228.2,17.9
03/01/2020 00:00,105,70.2,231.2,19.2
04/01/2020 00:00,118.2,79.7,261,21.1
05/01/2020 00:00,64.8,61,160.3,10.3
06/01/2020 00:00,112.4,71.9,244.2,21.9
07/01/2020 00:00,107.8,64.5,229.8,23.4
08/01/2020 00:00,118.9,65.3,247.60001,39
09/01/2020 00:00,85.8,54.6,186,17.8
10/01/2020 00:00,140.2,77.1,292.10001,25.1
11/01/2020 00:00,55.5,44.5,129.5,21
12/01/2020 00:00,56.9,44.1,131.39999,10.8
13/01/2020 00:00,110,62.7,231.3,19
14/01/2020 00:00,87.7,49.2,183.7,13.2
15/01/2020 00:00,117.1,68.9,248.5,17.3
16/01/2020 00:00,106.3,65.7,228.7,25.2
17/01/2020 00:00,113.4,67.5,241.39999,19.7
18/01/2020 00:00,171.89999,84,347.60001,28.4
19/01/2020 00:00,184.60001,85.3,368.39999,30
20/01/2020 00:00,325.10001,97.6,596.20001,55.7
21/01/2020 00:00,378.5,98.9,679.29999,52.5
22/01/2020 00:00,140.39999,65.7,280.89999,30.3
23/01/2020 00:00,43.1,53.8,120,18.5
24/01/2020 00:00,188.39999,70.4,359.39999,26.9
25/01/2020 00:00,135.7,68.5,276.60001,33.9
26/01/2020 00:00,84.8,55.9,185.89999,25.5
27/01/2020 00:00,142.10001,80.1,297.89999,17
28/01/2020 00:00,90.3,56.8,195.2,14.2
29/01/2020 00:00,96.9,61.8,210.3,25.8
30/01/2020 00:00,123.8,62.2,252.10001,12.3
31/01/2020 00:00,65.3,45.3,145.39999,7.7
01/02/2020 00:00,45,41.1,110.2,21.1
02/02/2020 00:00,39.7,42.2,103.1,19.7
03/02/2020 00:00,74.1,50.6,164.2,38.4
04/02/2020 00:00,84.9,57.3,187.39999,39.4
05/02/2020 00:00,206.2,95.2,411.29999,53.6
06/02/2020 00:00,205.89999,92.1,407.79999,48
07/02/2020 00:00,121.7,72.4,259,50.9
08/02/2020 00:00,74.6,55.8,170.2,30.4
09/02/2020 00:00,13.1,17.2,37.3,13.5
10/02/2020 00:00,44.3,35.2,103.2,15.2
11/02/2020 00:00,52.5,38.9,119.4,25.7
12/02/2020 00:00,102.7,63.3,220.7,27.5
13/02/2020 00:00,104.5,66.9,227.2,15.4
14/02/2020 00:00,133.3,73,277.5,33.6
15/02/2020 00:00,37.8,32.3,90.3,8.4
16/02/2020 00:00,21.1,26.2,58.6,4.8
17/02/2020 00:00,50.4,36.9,114.2,25.5
18/02/2020 00:00,63,45.5,142.10001,17
19/02/2020 00:00,118.5,64.7,246.39999,19.9
20/02/2020 00:00,75.2,52,167.39999,10.9
21/02/2020 00:00,45.9,38.1,108.4,24
22/02/2020 00:00,31.9,28.3,77.2,18.9
23/02/2020 00:00,71.3,46.4,155.7,11.8
