"","site","code","latitude","longitude","site_type"
"1","Borehamwood Meadow Park","BDMP",51.661229,-0.270671,"Urban Background"
"2","Brentford Roadside","BRN",51.489448,-0.310121,"Urban Traffic"
"3","Camden Kerbside","CA1",51.54421,-0.175269,"Urban Traffic"
"4","Central London","CLL",51.494722,-0.138333,"Urban Background"
"5","Ealing Horn Lane","EA8",51.51895,-0.265617,"Urban Traffic"
"6","Haringey Roadside","HG1",51.5993,-0.068218,"Urban Traffic"
"7","London A3 Roadside","A3",51.37348,-0.291853,"Urban Traffic"
"8","London Bloomsbury","CLL2",51.52229,-0.125889,"Urban Background"
"9","London Brent","BREN",51.589769,-0.276223,"Urban Background"
"10","London Bridge Place","BRI",51.49521,-0.141655,"Urban Background"
"11","London Bromley","BY2",51.40555,0.018869,"Urban Traffic"
"12","London Cromwell Road","CRD",51.49492,-0.180564,"Urban Traffic"
"13","London Cromwell Road 2","CRD2",51.495483,-0.178709,"Urban Traffic"
"14","London Eltham","LON6",51.45258,0.070766,"Suburban Background"
"15","London Haringey Priory Park South","HG4",51.584128,-0.125254,"Urban Background"
"16","London Harlington","HRL",51.48879,-0.441614,"Urban Industrial"
"17","London Harrow","HARR",51.57389,-0.352051,"Suburban Background"
"18","London Harrow Stanmore","HR3",51.617333,-0.298777,"Urban Background"
"19","London Honor Oak Park","HP1",51.449674,-0.037418,"Urban Background"
"20","London Islington","ISL",51.531362,-0.096954,"Urban Background"
"21","London Marylebone Road","MY1",51.52253,-0.154611,"Urban Traffic"
"22","London N. Kensington","KC1",51.52105,-0.213492,"Urban Background"
"23","London Sutton","SUT3",51.36789,-0.165489,"Suburban Background"
"24","London Teddington","TED",51.42099,-0.339647,"Urban Background"
"25","London Teddington Bushy Park","TED2",51.425286,-0.345606,"Urban Background"
"26","London UCL","LON5",51.52378,-0.128958,"Urban Background"
"27","London Wandsworth","WA2",51.45696,-0.191164,"Urban Background"
"28","London Westminster","HORS",51.49467,-0.131931,"Urban Background"
"29","Southwark A2 Old Kent Road","SK5",51.480499,-0.05955,"Urban Traffic"
"30","Sutton Roadside","SUT1",51.36636,-0.182789,"Urban Traffic"
"31","Tower Hamlets Roadside","TH2",51.52253,-0.042155,"Urban Traffic"
"32","West London","WL",51.4938,-0.200361,"Urban Background"
